lost_pet_type,lost_breed,lost_color,lost_location,lost_date,found_pet_type,found_breed,found_color,found_location,found_date,match,lost_pet_type_encoded,lost_breed_encoded,lost_color_encoded,lost_location_encoded,found_pet_type_encoded,found_breed_encoded,found_color_encoded,found_location_encoded,date_diff
Cat,Persian,Striped,Times Square,2025-12-08,Cat,Persian,Striped,Riverside Park,2025-12-09,1,1,17,7,7,1,17,7,5,1
Dog,Beagle,White,Queens Plaza,2025-12-18,Cat,Persian,Gray,Central Park,2025-12-18,0,2,1,8,4,1,17,3,2,0
Bird,Finch,Black,Central Park,2025-12-18,Bird,Macaw,Black,Bronx Zoo,2025-12-18,1,0,9,0,2,0,14,0,0,0
Cat,British Shorthair,Striped,Queens Plaza,2025-12-31,Bird,Finch,Brown,Bronx Zoo,2026-01-06,0,1,3,7,4,0,9,1,0,6
Bird,Budgie,Mixed,Central Park,2025-12-20,Dog,Labrador,Brown,Riverside Park,2025-12-24,0,0,4,4,2,2,12,1,5,4
Dog,German Shepherd,Black,Manhattan,2025-12-22,Cat,Siamese,Golden,Manhattan,2025-12-27,0,2,10,0,3,1,22,2,3,5
Cat,British Shorthair,Black,Manhattan,2025-12-05,Bird,Parrot,Mixed,Brooklyn Bridge,2025-12-05,0,1,3,0,3,0,16,4,1,0
Bird,Conure,Mixed,Manhattan,2025-12-09,Dog,German Shepherd,Orange,Manhattan,2025-12-15,0,0,8,4,3,2,10,5,3,6
Cat,Abyssinian,Spotted,Times Square,2025-12-12,Dog,Golden Retriever,White,Staten Island,2025-12-19,0,1,0,6,7,2,11,8,6,7
Bird,Canary,Gray,Staten Island,2025-12-05,Bird,Canary,Gray,Staten Island,2025-12-06,1,0,6,3,6,0,6,3,6,1
Cat,Russian Blue,Spotted,Queens Plaza,2025-12-03,Cat,Maine Coon,Gray,Times Square,2025-12-10,0,1,21,6,4,1,15,3,7,7
Dog,Bulldog,Brown,Bronx Zoo,2025-12-13,Dog,Labrador,Mixed,Manhattan,2025-12-16,0,2,5,1,0,2,12,4,3,3
Bird,Budgie,Spotted,Bronx Zoo,2025-12-05,Bird,Budgie,Mixed,Staten Island,2025-12-10,0,0,4,6,0,0,4,4,6,5
Cat,Siamese,Black,Bronx Zoo,2025-12-25,Cat,British Shorthair,Spotted,Bronx Zoo,2025-12-31,1,1,22,0,0,1,3,6,0,6
Dog,Golden Retriever,White,Riverside Park,2025-12-20,Cat,Siamese,Brown,Brooklyn Bridge,2025-12-21,0,2,11,8,5,1,22,1,1,1
Cat,Siamese,Orange,Times Square,2025-12-02,Dog,German Shepherd,Striped,Bronx Zoo,2025-12-05,0,1,22,5,7,2,10,7,0,3
Bird,Parrot,Black,Central Park,2025-12-23,Bird,Parrot,Black,Central Park,2025-12-24,1,0,16,0,2,0,16,0,2,1
Dog,Yorkshire Terrier,Brown,Brooklyn Bridge,2025-12-14,Dog,Yorkshire Terrier,Brown,Brooklyn Bridge,2025-12-19,1,2,23,1,1,2,23,1,1,5
Dog,Yorkshire Terrier,Brown,Riverside Park,2025-12-24,Cat,Abyssinian,Mixed,Staten Island,2025-12-25,0,2,23,1,5,1,0,4,6,1
Bird,Conure,Gray,Times Square,2025-12-14,Cat,Siamese,Brown,Queens Plaza,2025-12-22,0,0,8,3,7,1,22,1,4,8
Dog,Bulldog,Golden,Staten Island,2025-12-22,Bird,Finch,Black,Queens Plaza,2025-12-24,0,2,5,2,6,0,9,0,4,2
Cat,Abyssinian,Orange,Queens Plaza,2025-12-11,Dog,Rottweiler,Brown,Riverside Park,2025-12-15,0,1,0,5,4,2,20,1,5,4
Bird,Conure,Striped,Queens Plaza,2025-12-06,Bird,Cockatiel,Spotted,Central Park,2025-12-16,0,0,8,7,4,0,7,6,2,10
Bird,Parrot,Black,Riverside Park,2025-12-07,Dog,Beagle,Striped,Times Square,2025-12-13,0,0,16,0,5,2,1,7,7,6
Cat,Bengal,White,Bronx Zoo,2025-12-06,Bird,Lovebird,Gray,Central Park,2025-12-09,0,1,2,8,0,0,13,3,2,3
Bird,Budgie,Golden,Bronx Zoo,2025-12-13,Bird,Budgie,Golden,Brooklyn Bridge,2025-12-21,1,0,4,2,0,0,4,2,1,8
Dog,Rottweiler,Orange,Manhattan,2025-12-25,Dog,Bulldog,Orange,Manhattan,2026-01-03,1,2,20,5,3,2,5,5,3,9
Bird,Parrot,Mixed,Brooklyn Bridge,2025-12-04,Bird,Parrot,Mixed,Queens Plaza,2025-12-11,1,0,16,4,1,0,16,4,4,7
Dog,Rottweiler,Orange,Staten Island,2025-12-05,Cat,Persian,Gray,Brooklyn Bridge,2025-12-07,0,2,20,5,6,1,17,3,1,2
Bird,Lovebird,Golden,Central Park,2025-12-07,Cat,Siamese,Black,Bronx Zoo,2025-12-12,0,0,13,2,2,1,22,0,0,5
Cat,Bengal,Black,Riverside Park,2025-12-20,Cat,Abyssinian,Gray,Queens Plaza,2025-12-22,0,1,2,0,5,1,0,3,4,2
Dog,Golden Retriever,Brown,Staten Island,2025-12-30,Bird,Parrot,Mixed,Queens Plaza,2026-01-01,0,2,11,1,6,0,16,4,4,2
Bird,Finch,Golden,Central Park,2025-12-24,Cat,Maine Coon,Black,Manhattan,2025-12-27,0,0,9,2,2,1,15,0,3,3
Cat,Ragdoll,Orange,Times Square,2025-12-13,Dog,German Shepherd,Orange,Queens Plaza,2025-12-16,0,1,19,5,7,2,10,5,4,3
Bird,Finch,Spotted,Riverside Park,2025-12-24,Dog,Bulldog,Striped,Times Square,2025-12-26,0,0,9,6,5,2,5,7,7,2
Bird,Finch,Gray,Brooklyn Bridge,2025-12-27,Dog,Beagle,Black,Central Park,2025-12-31,0,0,9,3,1,2,1,0,2,4
Bird,Canary,Black,Brooklyn Bridge,2025-12-13,Bird,Canary,Black,Brooklyn Bridge,2025-12-21,1,0,6,0,1,0,6,0,1,8
Bird,Lovebird,Spotted,Staten Island,2025-12-30,Dog,Yorkshire Terrier,Black,Staten Island,2026-01-08,0,0,13,6,6,2,23,0,6,9
Dog,Beagle,Striped,Times Square,2025-12-09,Dog,Beagle,Gray,Times Square,2025-12-18,1,2,1,7,7,2,1,3,7,9
Cat,Persian,Golden,Times Square,2025-12-05,Cat,British Shorthair,Golden,Riverside Park,2025-12-09,1,1,17,2,7,1,3,2,5,4
Cat,Maine Coon,Mixed,Bronx Zoo,2025-12-26,Cat,Maine Coon,Mixed,Bronx Zoo,2026-01-05,1,1,15,4,0,1,15,4,0,10
Cat,Ragdoll,Gray,Queens Plaza,2025-12-27,Dog,Beagle,Brown,Times Square,2025-12-28,0,1,19,3,4,2,1,1,7,1
Cat,Abyssinian,Striped,Manhattan,2025-12-12,Bird,Parrot,Spotted,Bronx Zoo,2025-12-19,0,1,0,7,3,0,16,6,0,7
Cat,Siamese,White,Riverside Park,2025-12-02,Dog,Golden Retriever,Orange,Riverside Park,2025-12-09,0,1,22,8,5,2,11,5,5,7
Bird,Cockatiel,Spotted,Riverside Park,2025-12-13,Cat,Abyssinian,Gray,Riverside Park,2025-12-19,0,0,7,6,5,1,0,3,5,6
Bird,Macaw,Mixed,Brooklyn Bridge,2025-12-29,Cat,Siamese,Mixed,Manhattan,2025-12-31,0,0,14,4,1,1,22,4,3,2
Cat,Persian,Golden,Queens Plaza,2025-12-21,Cat,Maine Coon,Golden,Queens Plaza,2025-12-27,1,1,17,2,4,1,15,2,4,6
Dog,Rottweiler,Golden,Staten Island,2025-12-06,Dog,Rottweiler,Mixed,Staten Island,2025-12-09,1,2,20,2,6,2,20,4,6,3
Bird,Parrot,Striped,Central Park,2025-12-24,Bird,Parrot,White,Queens Plaza,2025-12-27,1,0,16,7,2,0,16,8,4,3
Dog,Beagle,Black,Times Square,2025-12-19,Dog,Beagle,Black,Times Square,2025-12-19,1,2,1,0,7,2,1,0,7,0
Cat,Russian Blue,Brown,Times Square,2025-12-06,Dog,Bulldog,Striped,Times Square,2025-12-15,0,1,21,1,7,2,5,7,7,9
Cat,Persian,White,Riverside Park,2025-12-18,Cat,Persian,White,Riverside Park,2025-12-20,1,1,17,8,5,1,17,8,5,2
Dog,Golden Retriever,Striped,Central Park,2025-12-18,Cat,Abyssinian,Striped,Staten Island,2025-12-20,0,2,11,7,2,1,0,7,6,2
Dog,Rottweiler,Striped,Riverside Park,2025-12-19,Bird,Canary,Black,Staten Island,2025-12-25,0,2,20,7,5,0,6,0,6,6
Cat,Persian,Orange,Central Park,2025-12-30,Cat,British Shorthair,Black,Central Park,2026-01-07,0,1,17,5,2,1,3,0,2,8
Bird,Finch,Brown,Manhattan,2025-12-18,Dog,Beagle,Orange,Queens Plaza,2025-12-20,0,0,9,1,3,2,1,5,4,2
Dog,Labrador,Black,Queens Plaza,2025-12-07,Cat,Bengal,Gray,Central Park,2025-12-07,0,2,12,0,4,1,2,3,2,0
Bird,Budgie,Mixed,Riverside Park,2025-12-06,Dog,German Shepherd,Striped,Manhattan,2025-12-08,0,0,4,4,5,2,10,7,3,2
Bird,Conure,Gray,Brooklyn Bridge,2025-12-21,Dog,Rottweiler,Striped,Manhattan,2025-12-24,0,0,8,3,1,2,20,7,3,3
Cat,Maine Coon,White,Queens Plaza,2025-12-28,Cat,Abyssinian,Striped,Brooklyn Bridge,2026-01-01,0,1,15,8,4,1,0,7,1,4
Bird,Parrot,Orange,Riverside Park,2025-12-03,Cat,Siamese,White,Brooklyn Bridge,2025-12-10,0,0,16,5,5,1,22,8,1,7
Bird,Finch,White,Queens Plaza,2025-12-16,Cat,Bengal,Orange,Bronx Zoo,2025-12-18,0,0,9,8,4,1,2,5,0,2
Cat,Bengal,Black,Central Park,2025-12-24,Bird,Budgie,Brown,Brooklyn Bridge,2026-01-03,0,1,2,0,2,0,4,1,1,10
Bird,Cockatiel,White,Central Park,2025-12-04,Bird,Macaw,Spotted,Manhattan,2025-12-05,0,0,7,8,2,0,14,6,3,1
Cat,Russian Blue,Gray,Manhattan,2025-12-04,Dog,Yorkshire Terrier,Spotted,Manhattan,2025-12-14,0,1,21,3,3,2,23,6,3,10
Bird,Canary,Golden,Bronx Zoo,2025-12-03,Cat,Abyssinian,White,Central Park,2025-12-04,0,0,6,2,0,1,0,8,2,1
Dog,Bulldog,Black,Staten Island,2025-12-14,Bird,Conure,Orange,Queens Plaza,2025-12-14,0,2,5,0,6,0,8,5,4,0
Dog,Golden Retriever,Spotted,Staten Island,2025-12-07,Dog,Golden Retriever,Spotted,Staten Island,2025-12-17,1,2,11,6,6,2,11,6,6,10
Bird,Finch,Black,Times Square,2025-12-18,Bird,Finch,Black,Times Square,2025-12-20,1,0,9,0,7,0,9,0,7,2
Dog,Yorkshire Terrier,Mixed,Manhattan,2025-12-10,Dog,German Shepherd,Black,Riverside Park,2025-12-14,0,2,23,4,3,2,10,0,5,4
Dog,Labrador,Orange,Central Park,2025-12-05,Dog,Labrador,Orange,Central Park,2025-12-08,1,2,12,5,2,2,12,5,2,3
Bird,Budgie,Brown,Manhattan,2025-12-30,Dog,Golden Retriever,Mixed,Staten Island,2026-01-03,0,0,4,1,3,2,11,4,6,4
Bird,Finch,Orange,Riverside Park,2025-12-21,Bird,Finch,White,Brooklyn Bridge,2025-12-28,0,0,9,5,5,0,9,8,1,7
Cat,Russian Blue,Brown,Staten Island,2025-12-10,Dog,Poodle,Orange,Manhattan,2025-12-18,0,1,21,1,6,2,18,5,3,8
Bird,Finch,Black,Riverside Park,2025-12-29,Dog,Poodle,Orange,Bronx Zoo,2025-12-31,0,0,9,0,5,2,18,5,0,2
Cat,British Shorthair,Spotted,Central Park,2025-12-21,Cat,Persian,Mixed,Central Park,2025-12-22,1,1,3,6,2,1,17,4,2,1
Cat,Maine Coon,Orange,Times Square,2025-12-25,Bird,Cockatiel,Spotted,Manhattan,2025-12-30,0,1,15,5,7,0,7,6,3,5
Dog,Yorkshire Terrier,Gray,Central Park,2025-12-26,Bird,Lovebird,Orange,Central Park,2025-12-30,0,2,23,3,2,0,13,5,2,4
Bird,Conure,Spotted,Brooklyn Bridge,2025-12-10,Bird,Conure,Spotted,Brooklyn Bridge,2025-12-17,1,0,8,6,1,0,8,6,1,7
Bird,Cockatiel,Golden,Riverside Park,2025-12-20,Cat,Abyssinian,Spotted,Queens Plaza,2025-12-24,0,0,7,2,5,1,0,6,4,4
Cat,Abyssinian,White,Central Park,2025-12-15,Cat,Persian,Brown,Times Square,2025-12-23,0,1,0,8,2,1,17,1,7,8
Bird,Canary,Brown,Manhattan,2025-12-16,Cat,Ragdoll,Brown,Brooklyn Bridge,2025-12-24,0,0,6,1,3,1,19,1,1,8
Dog,Poodle,White,Queens Plaza,2025-12-03,Bird,Conure,Golden,Queens Plaza,2025-12-05,0,2,18,8,4,0,8,2,4,2
Bird,Cockatiel,Mixed,Central Park,2025-12-17,Dog,Poodle,Mixed,Central Park,2025-12-20,0,0,7,4,2,2,18,4,2,3
Cat,Maine Coon,Striped,Times Square,2025-12-07,Cat,Maine Coon,Striped,Times Square,2025-12-11,1,1,15,7,7,1,15,7,7,4
Cat,British Shorthair,White,Manhattan,2025-12-07,Cat,Russian Blue,Black,Manhattan,2025-12-13,0,1,3,8,3,1,21,0,3,6
Cat,Persian,Black,Bronx Zoo,2025-12-25,Cat,Persian,Black,Bronx Zoo,2026-01-04,1,1,17,0,0,1,17,0,0,10
Bird,Lovebird,Striped,Staten Island,2025-12-18,Bird,Macaw,Striped,Staten Island,2025-12-19,1,0,13,7,6,0,14,7,6,1
Dog,German Shepherd,Black,Bronx Zoo,2025-12-07,Dog,German Shepherd,Black,Bronx Zoo,2025-12-10,1,2,10,0,0,2,10,0,0,3
Bird,Conure,Black,Staten Island,2025-12-13,Cat,Ragdoll,Black,Riverside Park,2025-12-21,0,0,8,0,6,1,19,0,5,8
Bird,Macaw,Golden,Central Park,2025-12-17,Dog,Labrador,Orange,Staten Island,2025-12-23,0,0,14,2,2,2,12,5,6,6
Dog,Bulldog,Mixed,Bronx Zoo,2025-12-07,Dog,Bulldog,Mixed,Bronx Zoo,2025-12-14,1,2,5,4,0,2,5,4,0,7
Dog,Rottweiler,Brown,Riverside Park,2025-12-18,Bird,Lovebird,Golden,Riverside Park,2025-12-19,0,2,20,1,5,0,13,2,5,1
Dog,German Shepherd,Orange,Manhattan,2025-12-06,Dog,German Shepherd,Orange,Manhattan,2025-12-06,1,2,10,5,3,2,10,5,3,0
Cat,Maine Coon,Brown,Manhattan,2025-12-18,Cat,Maine Coon,Brown,Central Park,2025-12-19,1,1,15,1,3,1,15,1,2,1
Bird,Lovebird,Golden,Staten Island,2025-12-31,Cat,British Shorthair,Mixed,Brooklyn Bridge,2026-01-06,0,0,13,2,6,1,3,4,1,6
Dog,Labrador,Striped,Bronx Zoo,2025-12-07,Cat,Ragdoll,Golden,Brooklyn Bridge,2025-12-15,0,2,12,7,0,1,19,2,1,8
Dog,Yorkshire Terrier,Spotted,Riverside Park,2025-12-07,Dog,Yorkshire Terrier,Spotted,Riverside Park,2025-12-08,1,2,23,6,5,2,23,6,5,1
Bird,Canary,Black,Riverside Park,2025-12-13,Bird,Budgie,Mixed,Bronx Zoo,2025-12-18,0,0,6,0,5,0,4,4,0,5
Bird,Lovebird,Gray,Manhattan,2025-12-05,Bird,Macaw,Striped,Staten Island,2025-12-08,0,0,13,3,3,0,14,7,6,3
Cat,Persian,White,Central Park,2025-12-30,Dog,Labrador,Brown,Bronx Zoo,2026-01-01,0,1,17,8,2,2,12,1,0,2
Bird,Lovebird,Brown,Bronx Zoo,2025-12-26,Bird,Lovebird,Brown,Bronx Zoo,2026-01-01,1,0,13,1,0,0,13,1,0,6
Bird,Lovebird,Striped,Manhattan,2025-12-10,Cat,Bengal,Orange,Times Square,2025-12-13,0,0,13,7,3,1,2,5,7,3
Dog,Golden Retriever,Golden,Central Park,2025-12-29,Dog,Golden Retriever,Striped,Central Park,2026-01-04,1,2,11,2,2,2,11,7,2,6
Bird,Conure,Mixed,Queens Plaza,2025-12-02,Cat,Maine Coon,Mixed,Staten Island,2025-12-08,0,0,8,4,4,1,15,4,6,6
Cat,Ragdoll,Orange,Central Park,2025-12-04,Cat,Abyssinian,Brown,Staten Island,2025-12-09,0,1,19,5,2,1,0,1,6,5
Dog,Yorkshire Terrier,Striped,Staten Island,2025-12-16,Dog,Yorkshire Terrier,Orange,Central Park,2025-12-16,0,2,23,7,6,2,23,5,2,0
Dog,German Shepherd,Golden,Manhattan,2025-12-03,Cat,British Shorthair,Brown,Bronx Zoo,2025-12-09,0,2,10,2,3,1,3,1,0,6
Bird,Lovebird,Brown,Staten Island,2025-12-07,Dog,German Shepherd,Brown,Central Park,2025-12-10,0,0,13,1,6,2,10,1,2,3
Bird,Parrot,Mixed,Times Square,2025-12-10,Bird,Canary,White,Bronx Zoo,2025-12-16,0,0,16,4,7,0,6,8,0,6
Bird,Canary,Brown,Manhattan,2025-12-04,Bird,Canary,Brown,Manhattan,2025-12-10,1,0,6,1,3,0,6,1,3,6
Dog,Bulldog,Gray,Brooklyn Bridge,2025-12-28,Bird,Lovebird,Spotted,Central Park,2026-01-02,0,2,5,3,1,0,13,6,2,5
Bird,Cockatiel,Golden,Manhattan,2025-12-12,Bird,Cockatiel,Golden,Staten Island,2025-12-20,1,0,7,2,3,0,7,2,6,8
Dog,Yorkshire Terrier,Mixed,Staten Island,2025-12-22,Cat,Abyssinian,Golden,Central Park,2025-12-27,0,2,23,4,6,1,0,2,2,5
Dog,Beagle,Mixed,Brooklyn Bridge,2025-12-30,Cat,British Shorthair,Brown,Brooklyn Bridge,2026-01-05,0,2,1,4,1,1,3,1,1,6
Bird,Lovebird,Orange,Queens Plaza,2025-12-15,Bird,Canary,Striped,Riverside Park,2025-12-25,0,0,13,5,4,0,6,7,5,10
Dog,Rottweiler,Gray,Bronx Zoo,2025-12-30,Cat,Maine Coon,Mixed,Brooklyn Bridge,2026-01-07,0,2,20,3,0,1,15,4,1,8
Dog,German Shepherd,Orange,Staten Island,2025-12-19,Cat,Ragdoll,White,Bronx Zoo,2025-12-22,0,2,10,5,6,1,19,8,0,3
Cat,Abyssinian,Spotted,Riverside Park,2025-12-21,Bird,Cockatiel,Golden,Times Square,2025-12-27,0,1,0,6,5,0,7,2,7,6
Cat,Maine Coon,Orange,Staten Island,2025-12-30,Cat,Abyssinian,Golden,Riverside Park,2026-01-07,0,1,15,5,6,1,0,2,5,8
Bird,Macaw,Brown,Central Park,2025-12-06,Cat,Russian Blue,Golden,Bronx Zoo,2025-12-12,0,0,14,1,2,1,21,2,0,6
Dog,Bulldog,Black,Bronx Zoo,2025-12-02,Dog,Bulldog,Black,Bronx Zoo,2025-12-02,1,2,5,0,0,2,5,0,0,0
Cat,Maine Coon,White,Queens Plaza,2025-12-04,Dog,Poodle,Striped,Staten Island,2025-12-06,0,1,15,8,4,2,18,7,6,2
Bird,Canary,Black,Staten Island,2025-12-17,Bird,Lovebird,Brown,Times Square,2025-12-27,0,0,6,0,6,0,13,1,7,10
Cat,Persian,Gray,Brooklyn Bridge,2025-12-14,Dog,Rottweiler,Brown,Bronx Zoo,2025-12-16,0,1,17,3,1,2,20,1,0,2
Dog,Beagle,Brown,Brooklyn Bridge,2025-12-17,Bird,Conure,Striped,Central Park,2025-12-19,0,2,1,1,1,0,8,7,2,2
Dog,Poodle,Golden,Times Square,2025-12-18,Cat,Bengal,Golden,Queens Plaza,2025-12-20,0,2,18,2,7,1,2,2,4,2
Dog,Yorkshire Terrier,Mixed,Queens Plaza,2025-12-11,Dog,Bulldog,Mixed,Queens Plaza,2025-12-21,1,2,23,4,4,2,5,4,4,10
Bird,Budgie,Gray,Riverside Park,2025-12-02,Dog,Labrador,White,Times Square,2025-12-07,0,0,4,3,5,2,12,8,7,5
Cat,British Shorthair,White,Central Park,2025-12-08,Cat,Abyssinian,Golden,Staten Island,2025-12-10,0,1,3,8,2,1,0,2,6,2
Cat,Bengal,Striped,Queens Plaza,2025-12-11,Cat,Siamese,Golden,Times Square,2025-12-18,0,1,2,7,4,1,22,2,7,7
Bird,Cockatiel,White,Manhattan,2025-12-18,Dog,Beagle,White,Bronx Zoo,2025-12-28,0,0,7,8,3,2,1,8,0,10
Dog,Yorkshire Terrier,Brown,Times Square,2025-12-28,Cat,Maine Coon,Golden,Brooklyn Bridge,2026-01-07,0,2,23,1,7,1,15,2,1,10
Bird,Conure,Brown,Riverside Park,2025-12-19,Bird,Conure,Brown,Riverside Park,2025-12-22,1,0,8,1,5,0,8,1,5,3
Cat,Bengal,Gray,Staten Island,2025-12-08,Cat,British Shorthair,White,Times Square,2025-12-14,0,1,2,3,6,1,3,8,7,6
Bird,Finch,Black,Staten Island,2025-12-10,Cat,Persian,Brown,Staten Island,2025-12-11,0,0,9,0,6,1,17,1,6,1
Bird,Lovebird,Golden,Central Park,2025-12-22,Cat,British Shorthair,Orange,Brooklyn Bridge,2026-01-01,0,0,13,2,2,1,3,5,1,10
Bird,Finch,Golden,Queens Plaza,2025-12-03,Dog,Golden Retriever,Striped,Manhattan,2025-12-13,0,0,9,2,4,2,11,7,3,10
Dog,German Shepherd,Mixed,Brooklyn Bridge,2025-12-21,Dog,Labrador,Spotted,Staten Island,2025-12-24,0,2,10,4,1,2,12,6,6,3
Cat,Persian,White,Riverside Park,2025-12-10,Cat,Persian,White,Riverside Park,2025-12-18,1,1,17,8,5,1,17,8,5,8
Bird,Parrot,Orange,Staten Island,2025-12-28,Bird,Cockatiel,Black,Queens Plaza,2025-12-30,0,0,16,5,6,0,7,0,4,2
Dog,Rottweiler,Gray,Brooklyn Bridge,2025-12-19,Dog,Rottweiler,Gray,Brooklyn Bridge,2025-12-25,1,2,20,3,1,2,20,3,1,6
Bird,Budgie,Brown,Manhattan,2025-12-16,Cat,Persian,Brown,Staten Island,2025-12-16,0,0,4,1,3,1,17,1,6,0
Cat,Abyssinian,White,Times Square,2025-12-22,Cat,Abyssinian,White,Times Square,2025-12-26,1,1,0,8,7,1,0,8,7,4
Bird,Canary,Orange,Times Square,2025-12-10,Bird,Canary,Orange,Times Square,2025-12-10,1,0,6,5,7,0,6,5,7,0
Dog,Yorkshire Terrier,Brown,Staten Island,2025-12-15,Dog,Yorkshire Terrier,Brown,Staten Island,2025-12-20,1,2,23,1,6,2,23,1,6,5
Dog,Bulldog,Spotted,Manhattan,2025-12-26,Dog,Rottweiler,Striped,Times Square,2026-01-05,0,2,5,6,3,2,20,7,7,10
Dog,Poodle,Orange,Staten Island,2025-12-04,Dog,Labrador,Orange,Staten Island,2025-12-11,1,2,18,5,6,2,12,5,6,7
Bird,Macaw,Mixed,Riverside Park,2025-12-11,Dog,German Shepherd,Mixed,Queens Plaza,2025-12-15,0,0,14,4,5,2,10,4,4,4
Cat,Russian Blue,Black,Staten Island,2025-12-04,Cat,Russian Blue,Black,Staten Island,2025-12-10,1,1,21,0,6,1,21,0,6,6
Dog,German Shepherd,Spotted,Times Square,2025-12-04,Dog,German Shepherd,Spotted,Times Square,2025-12-08,1,2,10,6,7,2,10,6,7,4
Dog,Labrador,Orange,Staten Island,2025-12-03,Cat,Bengal,Striped,Times Square,2025-12-07,0,2,12,5,6,1,2,7,7,4
Dog,Beagle,Gray,Staten Island,2025-12-22,Cat,Bengal,Spotted,Brooklyn Bridge,2025-12-27,0,2,1,3,6,1,2,6,1,5
Dog,Labrador,Black,Central Park,2025-12-31,Dog,Poodle,Mixed,Bronx Zoo,2026-01-07,0,2,12,0,2,2,18,4,0,7
Bird,Canary,White,Central Park,2025-12-22,Bird,Canary,White,Central Park,2025-12-22,1,0,6,8,2,0,6,8,2,0
Cat,Persian,Golden,Central Park,2025-12-26,Cat,Persian,Golden,Central Park,2025-12-29,1,1,17,2,2,1,17,2,2,3
Cat,Ragdoll,Brown,Staten Island,2025-12-15,Cat,Bengal,Golden,Central Park,2025-12-17,0,1,19,1,6,1,2,2,2,2
Dog,Beagle,Orange,Staten Island,2025-12-02,Dog,German Shepherd,Golden,Central Park,2025-12-06,0,2,1,5,6,2,10,2,2,4
Dog,German Shepherd,Mixed,Manhattan,2025-12-24,Cat,Abyssinian,Mixed,Central Park,2025-12-24,0,2,10,4,3,1,0,4,2,0
Bird,Budgie,Mixed,Queens Plaza,2025-12-20,Bird,Finch,Mixed,Staten Island,2025-12-20,0,0,4,4,4,0,9,4,6,0
Bird,Lovebird,Striped,Staten Island,2025-12-24,Cat,Maine Coon,White,Staten Island,2026-01-01,0,0,13,7,6,1,15,8,6,8
Bird,Parrot,Brown,Queens Plaza,2025-12-02,Dog,German Shepherd,White,Riverside Park,2025-12-03,0,0,16,1,4,2,10,8,5,1
Cat,Abyssinian,Mixed,Central Park,2025-12-13,Dog,Golden Retriever,Striped,Brooklyn Bridge,2025-12-15,0,1,0,4,2,2,11,7,1,2
Cat,Bengal,Striped,Times Square,2025-12-16,Cat,Ragdoll,Golden,Bronx Zoo,2025-12-23,0,1,2,7,7,1,19,2,0,7
Dog,Labrador,Mixed,Manhattan,2025-12-22,Dog,Yorkshire Terrier,Mixed,Manhattan,2025-12-28,1,2,12,4,3,2,23,4,3,6
Dog,Poodle,Black,Bronx Zoo,2025-12-24,Cat,Russian Blue,Orange,Times Square,2026-01-01,0,2,18,0,0,1,21,5,7,8
Cat,Russian Blue,Striped,Staten Island,2025-12-02,Dog,Rottweiler,Mixed,Bronx Zoo,2025-12-02,0,1,21,7,6,2,20,4,0,0
Bird,Cockatiel,Gray,Queens Plaza,2025-12-28,Dog,Golden Retriever,Gray,Staten Island,2025-12-31,0,0,7,3,4,2,11,3,6,3
Dog,Beagle,Striped,Staten Island,2025-12-26,Cat,British Shorthair,Striped,Central Park,2025-12-31,0,2,1,7,6,1,3,7,2,5
Cat,Maine Coon,Mixed,Queens Plaza,2025-12-15,Dog,Rottweiler,Golden,Riverside Park,2025-12-24,0,1,15,4,4,2,20,2,5,9
Cat,Maine Coon,Spotted,Brooklyn Bridge,2025-12-14,Cat,Maine Coon,Spotted,Brooklyn Bridge,2025-12-21,1,1,15,6,1,1,15,6,1,7
Cat,Ragdoll,Spotted,Staten Island,2025-12-07,Dog,Golden Retriever,Mixed,Manhattan,2025-12-14,0,1,19,6,6,2,11,4,3,7
Dog,Golden Retriever,Golden,Queens Plaza,2025-12-08,Dog,Yorkshire Terrier,Orange,Queens Plaza,2025-12-10,0,2,11,2,4,2,23,5,4,2
Bird,Cockatiel,Striped,Manhattan,2025-12-26,Bird,Budgie,Mixed,Staten Island,2025-12-30,0,0,7,7,3,0,4,4,6,4
Cat,Persian,Striped,Times Square,2025-12-04,Bird,Cockatiel,Golden,Times Square,2025-12-07,0,1,17,7,7,0,7,2,7,3
Dog,Beagle,Black,Bronx Zoo,2025-12-27,Dog,Labrador,Gray,Manhattan,2026-01-02,0,2,1,0,0,2,12,3,3,6
Dog,Rottweiler,Golden,Manhattan,2025-12-06,Dog,Rottweiler,Golden,Manhattan,2025-12-06,1,2,20,2,3,2,20,2,3,0
Dog,Poodle,Spotted,Staten Island,2025-12-17,Dog,Poodle,Spotted,Riverside Park,2025-12-24,1,2,18,6,6,2,18,6,5,7
Cat,Ragdoll,Golden,Central Park,2025-12-30,Cat,Ragdoll,Golden,Queens Plaza,2026-01-01,1,1,19,2,2,1,19,2,4,2
Dog,Bulldog,Striped,Central Park,2025-12-12,Bird,Finch,Orange,Queens Plaza,2025-12-21,0,2,5,7,2,0,9,5,4,9
Dog,Poodle,Gray,Central Park,2025-12-09,Bird,Parrot,White,Staten Island,2025-12-11,0,2,18,3,2,0,16,8,6,2
Bird,Canary,White,Times Square,2025-12-26,Dog,Golden Retriever,Mixed,Manhattan,2026-01-05,0,0,6,8,7,2,11,4,3,10
Dog,Yorkshire Terrier,Black,Times Square,2025-12-11,Bird,Canary,Striped,Queens Plaza,2025-12-11,0,2,23,0,7,0,6,7,4,0
